Nov 21 13:10:05 hmland node[4131420]: [13:10:05,563] [INFO] [system] [RECONCILE] Context sagt isActive=true, aber Wallbox lädt nicht (State=2, Power=0mW) → setze isActive=false
Nov 21 13:10:10 hmland node[4131420]: [13:10:10,315] [INFO] [system] [RECONCILE] Context sagt isActive=false, aber Wallbox lädt (State=3, Power=1774386mW) → setze isActive=true
Nov 21 13:10:10 hmland node[4131420]: [13:10:10,330] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 824W < 1000W - Stopp-Timer gestartet
Nov 21 13:10:10 hmland node[4131420]: [13:10:10,332] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:10:11 hmland node[4131420]: [13:10:11,366] [INFO] [system] Ladung gestoppt
Nov 21 13:10:11 hmland node[4131420]: [13:10:11,405] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:10:40 hmland node[4131420]: [13:10:40,321] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1840.5W > 1500W für 34.744s
Nov 21 13:10:42 hmland node[4131420]: [13:10:42,481] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:10:44 hmland node[4131420]: [13:10:44,561] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:10:45 hmland node[4131420]: [13:10:45,573] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:10:51 hmland node[4131420]: [13:10:51,332] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:10:53 hmland node[4131420]: [13:10:53,432] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:10:54 hmland node[4131420]: [13:10:54,481] [INFO] [system] Ladung gestoppt
Nov 21 13:10:54 hmland node[4131420]: [13:10:54,573] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
